Trajectory ID, Date Time, Latitude,Longitude,Temperature (C),Depth (cm),Turbidity (NTU)
121618,2023-07-12 12:19:42,25.7582550048,-80.3739547729,90.3874969482,23.5298042297,0.0000000000
121618,2023-07-12 12:20:23,25.7582550048,-80.3739547729,91.4000015258,24.0100040435,0.0000000000
121618,2023-07-12 12:20:32,25.7582550048,-80.3739547729,91.5124969482,23.5984039306,0.0000000000
121618,2023-07-12 12:20:41,25.7582550048,-80.3739547729,91.4000015258,23.4783554077,277.0395507812
121618,2023-07-12 12:20:50,25.7581768035,-80.3739547729,91.2874984741,23.5126552581,0.0000000000
121618,2023-07-12 12:20:59,25.7581768035,-80.3739547729,91.2874984741,24.0271549224,0.0000000000
121618,2023-07-12 12:21:09,25.7581405639,-80.3739700317,91.1750030517,23.4097537994,0.0000000000
121618,2023-07-12 12:21:18,25.7581405639,-80.3739700317,91.1750030517,-1.0000000000,0.0000000000
121618,2023-07-12 12:21:26,25.7581253051,-80.3739776611,90.9499969482,23.5126552581,0.0000000000
122203,2023-07-12 12:24:26,25.7582721710,-80.3739776611,91.1750030517,-1.0000000000,2647.2983398437
122203,2023-07-12 12:24:38,25.7582626342,-80.3739700317,91.2874984741,23.7527542114,0.0000000000
122203,2023-07-12 12:24:46,25.7582397460,-80.3739776611,91.1750030517,24.0100040435,0.0000000000
122203,2023-07-12 12:24:57,25.7582206726,-80.3739776611,91.1750030517,23.5812549591,2991.6040039062
122203,2023-07-12 12:25:06,25.7582168579,-80.3739776611,91.0625000000,23.8899555206,3000.0000000000
122203,2023-07-12 12:25:16,25.7582168579,-80.3739776611,91.1750030517,-1.0000000000,3000.0000000000
122203,2023-07-12 12:25:24,25.7582168579,-80.3739776611,91.0625000000,23.4269046783,2973.5395507812
122203,2023-07-12 12:25:31,25.7581710815,-80.3739700317,91.0625000000,24.0100040435,2891.2651367187
122203,2023-07-12 12:25:41,25.7581710815,-80.3739700317,90.9499969482,23.4783554077,0.0000000000
122203,2023-07-12 12:25:51,25.7581367492,-80.3739776611,90.8375015258,23.6841545104,0.0000000000
122203,2023-07-12 12:26:15,25.7580966949,-80.3740005493,90.7249984741,-1.0000000000,0.0000000000
132640,2023-07-12 13:28:04,25.7582435607,-80.3739852905,90.6125030517,23.5812549591,0.0000000000
132640,2023-07-12 13:28:32,25.7582473754,-80.3739624023,91.1750030517,23.4783554077,1022.2368164062
132640,2023-07-12 13:28:49,25.7582340240,-80.3739624023,91.1750030517,-1.0000000000,2441.7397460937
132640,2023-07-12 13:29:01,25.7582340240,-80.3739624023,90.9499969482,23.6327056884,1324.4829101562
132640,2023-07-12 13:29:20,25.7581920623,-80.3739547729,90.9499969482,-1.0000000000,0.0000000000
132640,2023-07-12 13:30:00,25.7581787109,-80.3739624023,91.0625000000,23.5298042297,0.0000000000
132640,2023-07-12 13:30:08,25.7581787109,-80.3739624023,90.8375015258,-1.0000000000,0.0000000000
132640,2023-07-12 13:30:18,25.7581501007,-80.3739624023,90.8375015258,23.8899555206,1521.0356445312
132640,2023-07-12 13:30:23,25.7581329345,-80.3739624023,90.7249984741,24.3015556335,2680.4799804687
132640,2023-07-12 13:30:43,25.7581253051,-80.3739624023,90.8375015258,24.1986541748,1647.2856445312
132640,2023-07-12 13:31:15,25.7581024169,-80.3739700317,90.8375015258,-1.0000000000,0.0000000000
132640,2023-07-12 13:31:23,25.7580833435,-80.3739776611,90.8375015258,23.4783554077,0.0000000000
132640,2023-07-12 13:31:25,25.7580833435,-80.3739776611,90.8375015258,23.8899555206,0.0000000000
132640,2023-07-12 13:31:42,25.7580642700,-80.3739852905,90.9499969482,24.1986541748,0.0000000000
132640,2023-07-12 13:31:55,25.7580642700,-80.3739852905,90.9499969482,24.3015556335,0.0000000000
133605,2023-07-12 13:37:56,25.7582473754,-80.3739700317,90.3874969482,-1.0000000000,0.0000000000
133605,2023-07-12 13:37:58,25.7582473754,-80.3739700317,90.5000000000,23.7356052398,0.0000000000
133605,2023-07-12 13:38:02,25.7582511901,-80.3739700317,90.6125030517,23.2725543975,0.0000000000
133605,2023-07-12 13:38:21,25.7582511901,-80.3739700317,90.7249984741,23.9071044921,0.0000000000
133605,2023-07-12 13:39:00,25.7582111358,-80.3739776611,90.7249984741,24.0100040435,0.0000000000
133605,2023-07-12 13:39:14,25.7581901550,-80.3739700317,90.6125030517,-1.0000000000,0.0000000000
133605,2023-07-12 13:39:35,25.7581748962,-80.3739624023,90.6125030517,23.8899555206,214.8051757812
133605,2023-07-12 13:39:37,25.7581748962,-80.3739624023,90.6125030517,23.4097537994,0.0000000000
133605,2023-07-12 13:39:44,25.7581577301,-80.3739624023,90.6125030517,24.0957546234,0.0000000000
133605,2023-07-12 13:39:46,25.7581462860,-80.3739624023,90.6125030517,23.5812549591,0.0000000000
133605,2023-07-12 13:39:55,25.7581424713,-80.3739700317,90.6125030517,23.5812549591,0.0000000000
133605,2023-07-12 13:40:12,25.7581424713,-80.3739700317,90.6125030517,23.7184543609,0.0000000000
133605,2023-07-12 13:40:34,25.7580795288,-80.3739700317,90.6125030517,-1.0000000000,0.0000000000
134414,2023-07-12 13:45:10,25.7582416534,-80.3739776611,90.6125030517,24.8332042694,0.0000000000
134414,2023-07-12 13:45:27,25.7582302093,-80.3739700317,90.7249984741,23.6327056884,0.0000000000
134414,2023-07-12 13:45:40,25.7582283020,-80.3739700317,90.7249984741,23.5984039306,0.0000000000
134414,2023-07-12 13:46:02,25.7582206726,-80.3739547729,90.7249984741,24.3015556335,0.0000000000
134414,2023-07-12 13:46:08,25.7582206726,-80.3739547729,90.6125030517,23.6327056884,0.0000000000
134414,2023-07-12 13:46:25,25.7581748962,-80.3739547729,90.5000000000,24.0786056518,0.0000000000
134414,2023-07-12 13:46:40,25.7581748962,-80.3739547729,90.5000000000,23.7356052398,0.0000000000
134414,2023-07-12 13:46:52,25.7581443786,-80.3739547729,90.3874969482,24.2158050537,0.0000000000
134414,2023-07-12 13:47:03,25.7581348419,-80.3739624023,90.3874969482,23.4783554077,0.0000000000
134414,2023-07-12 13:47:16,25.7581157684,-80.3739624023,90.3874969482,23.4269046783,0.0000000000
134414,2023-07-12 13:47:30,25.7581157684,-80.3739624023,90.5000000000,24.0443058013,0.0000000000
134414,2023-07-12 13:47:41,25.7580814361,-80.3739776611,90.5000000000,23.8899555206,0.0000000000
134414,2023-07-12 13:47:56,25.7580471038,-80.3740005493,90.5000000000,23.8042049407,0.0000000000
140110,2023-07-12 14:01:48,25.7582740783,-80.3733215332,89.1500015258,23.7527542114,2940.1401367187
140110,2023-07-12 14:02:36,25.7582607269,-80.3733139038,90.6125030517,23.4269046783,171.4731445312
140110,2023-07-12 14:02:48,25.7582645416,-80.3733291625,90.5000000000,23.4269046783,1955.6333007812
140110,2023-07-12 14:03:05,25.7582645416,-80.3733291625,90.5000000000,24.5073547363,2605.9985351562
140110,2023-07-12 14:03:19,25.7582645416,-80.3733291625,90.7249984741,23.5298042297,786.3793945312
140110,2023-07-12 14:03:25,25.7582645416,-80.3733291625,90.6125030517,23.7356052398,1278.9584960937
