lan,lon
-5.634391523606518959e+00,4.891577505867184783e+01
-5.627345974750786795e+00,4.891492963443741360e+01
-5.639057314128801401e+00,4.891943232223368909e+01
-5.652292288107808815e+00,4.890510858145608353e+01
-5.665309509442416847e+00,4.890730111266469748e+01
-5.661150279442960453e+00,4.891153229212337550e+01
-5.662378909217747669e+00,4.890127518109097338e+01
-5.667271815064776952e+00,4.890606367826939049e+01
-5.678116524864378789e+00,4.888936758252608428e+01
-5.686698517703658418e+00,4.890381813343905293e+01
-5.683868563207371771e+00,4.889688380853475280e+01
-5.686823627919326718e+00,4.889673459915157139e+01
-5.696522238085694134e+00,4.889116593137775624e+01
-5.701504412387170539e+00,4.888872541720514420e+01
-5.704131320834701313e+00,4.889372023724403249e+01
-5.712800312220773336e+00,4.889308329911970930e+01
-5.712390245190515969e+00,4.889490771888493725e+01
-5.696238343151639683e+00,4.888845279443008707e+01
-5.697079868169386607e+00,4.889761975600909949e+01
-5.716378583186508600e+00,4.888870417931208578e+01
-5.724989306357647578e+00,4.887895456716044151e+01
-5.752807971668537412e+00,4.887566720669074272e+01
-5.750456795148890521e+00,4.887628170584772391e+01
-5.891581228837724282e+00,4.869218844638905352e+01
-5.898567300817333603e+00,4.869534964677963274e+01
-5.883462132379051468e+00,4.869326597037903781e+01
-5.898445990382300330e+00,4.868779021469938328e+01
-5.902809963711455055e+00,4.869309098844271944e+01
-5.899451534062039038e+00,4.869236746341245947e+01
-5.899809616322318817e+00,4.869045098198004240e+01
-5.900664607789767757e+00,4.868786406961427815e+01
-5.903125532054440683e+00,4.868942456601921265e+01
-5.902142580938483540e+00,4.868141895562228427e+01
-5.902759518170073605e+00,4.868223182125268522e+01
-5.903925966332630892e+00,4.868306429954708392e+01
-5.904612042226168533e+00,4.868028562391146608e+01
-5.910524190781821119e+00,4.868078800740827461e+01
-5.916431982447175386e+00,4.868388237253818573e+01
-5.904167326109354796e+00,4.867506452164744957e+01
-5.906519207882508837e+00,4.866706573710673212e+01
-5.909769137137077522e+00,4.866708340152742807e+01
-5.915780405963180222e+00,4.866459277055344046e+01
-5.913716009575759713e+00,4.867167902899609544e+01
-5.923337840734616222e+00,4.866521764866962485e+01
-5.916542525764049820e+00,4.866158280803561098e+01
-5.926177812475197371e+00,4.866404892738341204e+01
-5.927326067818209587e+00,4.865333430261254222e+01
-5.925774699423373093e+00,4.865785712361739002e+01
-5.928298004360232909e+00,4.865718713258412009e+01
-5.929502164797005648e+00,4.865068580334345683e+01
-5.933104858535895865e+00,4.864616433560395592e+01
-5.926404097443036534e+00,4.864422758763042509e+01
-5.954619763707614588e+00,4.861772275867943449e+01
-5.960384907140211297e+00,4.861922864543668510e+01
-5.963805612457093730e+00,4.862013744037258078e+01
-5.960909385898737867e+00,4.861616090559977010e+01
-5.968904346594414712e+00,4.860446496056700738e+01
-5.972514237843512319e+00,4.860758187017438559e+01
-5.975286600595339337e+00,4.859465777619350035e+01
-5.977872817161293817e+00,4.857794975180287622e+01
-5.988267171220599927e+00,4.859096844192344378e+01
