lan,lon
-5.630548357870337917e+00,4.892392709551160834e+01
-5.634039036796541389e+00,4.892346171310534686e+01
-5.650843612993706522e+00,4.891776679094735414e+01
-5.645265624355518597e+00,4.891224610949380036e+01
-5.657221996157445254e+00,4.891032459492224405e+01
-5.661422633667268833e+00,4.890912899346181320e+01
-5.652422015702356362e+00,4.890771692334838150e+01
-5.666115085165520426e+00,4.890587737434833571e+01
-5.677755357852062090e+00,4.891174695633880987e+01
-5.682915089474653847e+00,4.890174380767432183e+01
-5.685547362854424414e+00,4.889712888938336732e+01
-5.689141870019341241e+00,4.890336234750035516e+01
-5.692171545689683754e+00,4.888808088277344410e+01
-5.696711249817098199e+00,4.889297642214910411e+01
-5.706620855542329451e+00,4.889460460392709251e+01
-5.706920179042198171e+00,4.889150541445255982e+01
-5.706342526167336615e+00,4.888964649660596251e+01
-5.701881192755515748e+00,4.887706064728953947e+01
-5.705328682020367914e+00,4.889707673008123123e+01
-5.709124826466674740e+00,4.889908001396513981e+01
-5.726951426431636349e+00,4.888608003579678041e+01
-5.740806951199833641e+00,4.887751792924910177e+01
-5.752415671192534496e+00,4.886274922946751786e+01
-5.896686528005992578e+00,4.869402001621844533e+01
-5.895050727900476240e+00,4.868634041948454438e+01
-5.893766217560744813e+00,4.869235057044466686e+01
-5.900015898855683893e+00,4.868757841979470413e+01
-5.892293103400909615e+00,4.868890362592759402e+01
-5.905710842252241299e+00,4.869003912667827905e+01
-5.898621751705777960e+00,4.869933258095604600e+01
-5.902752535678797763e+00,4.868816488430785938e+01
-5.904952267365098706e+00,4.868444577223226588e+01
-5.900178737358341863e+00,4.868362823887466817e+01
-5.906052516517375395e+00,4.868053728836829208e+01
-5.899348030483729133e+00,4.867634388638013831e+01
-5.909187784436009672e+00,4.868309504829891665e+01
-5.909277480157652640e+00,4.867757197600048613e+01
-5.910788310142262247e+00,4.867743405703085102e+01
-5.910228316969693196e+00,4.867587650305027580e+01
-5.911169810858077689e+00,4.867530157619464148e+01
-5.911216404004388636e+00,4.867229525639879029e+01
-5.914914617708430633e+00,4.867163126036624732e+01
-5.916734768607033068e+00,4.866918675321858245e+01
-5.920380689612430025e+00,4.865945496156898997e+01
-5.925239394793721637e+00,4.865884556645925585e+01
-5.921549556229975586e+00,4.865757229150661800e+01
-5.926866256964739677e+00,4.865693908563368097e+01
-5.927769609331313916e+00,4.865685336767177205e+01
-5.927906921096583126e+00,4.865827801318444301e+01
-5.938340603593833755e+00,4.865877828145618622e+01
-5.926679968446281421e+00,4.865001855209155934e+01
-5.937898747144635614e+00,4.864416172308632724e+01
-5.946350610275553450e+00,4.861964326814199211e+01
-5.966035961909392782e+00,4.862105750787812752e+01
-5.959061734633453788e+00,4.862405910974266021e+01
-5.962961290111854495e+00,4.861623189332066630e+01
-5.959581808088209698e+00,4.859318145521365295e+01
-5.966969679764384082e+00,4.859311236334522022e+01
-5.977361815640388265e+00,4.858934842964336553e+01
-5.977075043024440149e+00,4.858758155653897148e+01
-5.979577971588089902e+00,4.858390050196220500e+01
